umur,gender,tempat_tinggal,konsumsi_kopi,frekuensi_kopi,jumlah_kopi,nominal_olah,nominal_beli,metode,jenis_biji,faktor_beli,jenis_kopi,perusahaan_kopi,preferensi_tempat,tingkat_percobaan,preferensi_tren,pengalaman,preferensi_merekomendasikan
45 - 54 tahun,Laki-laki,"Kota Kecil (Contoh : Ibukota Kabupaten, Kecamatan Pusat, Kawasan Permukiman Padat Penduduk)",Ya,Beberapa kali dalam seminggu,4.0,"Rp300.000,00 - Rp500.000,00","Rp8.000,00 - Rp14.999,00",Diseduh,Robusta,rasa,latte/cappuccino,Starbucks,kedai kopi,Tidak pernah,Kombinasi keduanya,Cukup baik,Ya
25 - 34 tahun,Laki-laki,"Kota Kecil (Contoh : Ibukota Kabupaten, Kecamatan Pusat, Kawasan Permukiman Padat Penduduk)",Ya,Setiap hari,3.0,"Rp40.000,00 - Rp79.999,00","Rp30.000,00 - Rp40.000,00",Machine brew,Arabica,rasa,latte/cappuccino,Starbucks,kedai kopi,Cukup sering,Mengikuti tren,Cukup baik,Ya
45 - 54 tahun,Laki-laki,"Kota Besar (Contoh : Pusat Kota, Kawasan Perkotaan, Daerah Penyangga)",Ya,Dalam situasi tertentu / tidak pasti,2.0,"< Rp8.000,00","Rp8.000,00 - Rp14.999,00",Diseduh,Tidak tahu / tidak ada preferensi khusus,other,kopi hitam,Tidak ada yang cocok,other,Tidak pernah,Tetap dengan tradisi,Cukup baik,Ya
35 - 44 tahun,Laki-laki,"Kota Besar (Contoh : Pusat Kota, Kawasan Perkotaan, Daerah Penyangga)",Ya,Beberapa kali dalam seminggu,6.0,"< Rp8.000,00","Rp30.000,00 - Rp40.000,00",Diseduh,Arabica,rasa,kopi hitam,Starbucks,kedai kopi,Jarang,Kombinasi keduanya,Cukup baik,Ya
35 - 44 tahun,Perempuan,"Kota Besar (Contoh : Pusat Kota, Kawasan Perkotaan, Daerah Penyangga)",Ya,Dalam situasi tertentu / tidak pasti,1.0,"Rp8.000,00 - Rp39.999,00","Rp30.000,00 - Rp40.000,00",Machine brew,Campuran (Blend),aroma,latte/cappuccino,Fore,kafe/restoran,Jarang,Mengikuti tren,Sangat baik,Ya
55 tahun ke atas,Perempuan,"Kawasan Non-Kota (Contoh : Kawasan Perumahan, Kawasan Industri)",Ya,Beberapa kali dalam seminggu,4.0,"< Rp8.000,00","> Rp40.000,00",Diseduh,Robusta,kualitas bahan baku,kopi hitam,Starbucks,kafe/restoran,Cukup sering,Mengikuti tren,Sangat baik,Ya
25 - 34 tahun,Laki-laki,"Kota Besar (Contoh : Pusat Kota, Kawasan Perkotaan, Daerah Penyangga)",Ya,Setiap hari,10.0,"Rp40.000,00 - Rp79.999,00","> Rp40.000,00",Machine brew,Liberica,kualitas bahan baku,espresso,Tidak ada yang cocok,mesin penjual otomatis,Cukup sering,Tetap dengan tradisi,Cukup baik,Ya
18 - 24 tahun,Perempuan,"Kota Besar (Contoh : Pusat Kota, Kawasan Perkotaan, Daerah Penyangga)",Ya,Beberapa kali dalam seminggu,4.0,"< Rp8.000,00","Rp20.000,00 - Rp29.999,00",Diseduh,Robusta,rasa,latte/cappuccino,Kopi Kenangan,toko kelontong/supermarket,Jarang,Kombinasi keduanya,Sangat baik,Ya
45 - 54 tahun,Perempuan,"Kota Besar (Contoh : Pusat Kota, Kawasan Perkotaan, Daerah Penyangga)",Ya,Setiap hari,10.0,"Rp120.000,00 - Rp299.999,00","> Rp40.000,00",Manual brew,Arabica,rasa,latte/cappuccino,Kopi Kenangan,kafe/restoran,Jarang,Kombinasi keduanya,Cukup baik,Ya
18 - 24 tahun,Perempuan,"Kota Besar (Contoh : Pusat Kota, Kawasan Perkotaan, Daerah Penyangga)",Ya,Dalam situasi tertentu / tidak pasti,3.0,"Rp40.000,00 - Rp79.999,00","Rp15.000,00 - Rp19.999,00",Machine brew,Tidak tahu / tidak ada preferensi khusus,rasa,latte/cappuccino,Kopi Kenangan,kafe/restoran,Jarang,Kombinasi keduanya,Cukup baik,Ya
18 - 24 tahun,Laki-laki,"Kawasan Non-Kota (Contoh : Kawasan Perumahan, Kawasan Industri)",Ya,Setiap hari,6.0,"Rp8.000,00 - Rp39.999,00","> Rp40.000,00",Machine brew,Robusta,rasa,kopi hitam,Fore,kedai kopi,Jarang,Tetap dengan tradisi,Cukup baik,Tidak
18 - 24 tahun,Laki-laki,"Kota Besar (Contoh : Pusat Kota, Kawasan Perkotaan, Daerah Penyangga)",Ya,Dalam situasi tertentu / tidak pasti,4.0,"Rp8.000,00 - Rp39.999,00","Rp20.000,00 - Rp29.999,00",Diseduh,Robusta,harga,latte/cappuccino,Kopi Kenangan,toko kelontong/supermarket,Jarang,Tetap dengan tradisi,Cukup baik,Ya
di bawah 18 tahun,Laki-laki,"Kota Besar (Contoh : Pusat Kota, Kawasan Perkotaan, Daerah Penyangga)",Tidak,Dalam situasi tertentu / tidak pasti,1.0,"Rp8.000,00 - Rp39.999,00","Rp30.000,00 - Rp40.000,00",Machine brew,Campuran (Blend),rasa,frappucino,Starbucks,kedai kopi,Jarang,Kombinasi keduanya,Cukup baik,Ya
18 - 24 tahun,Laki-laki,"Kota Besar (Contoh : Pusat Kota, Kawasan Perkotaan, Daerah Penyangga)",Ya,Seminggu sekali,2.0,"Rp40.000,00 - Rp79.999,00","Rp8.000,00 - Rp14.999,00",Manual brew,Robusta,rasa,latte/cappuccino,Kopi Kenangan,toko kelontong/supermarket,Jarang,Kombinasi keduanya,Sangat baik,Ya
18 - 24 tahun,Laki-laki,"Kota Besar (Contoh : Pusat Kota, Kawasan Perkotaan, Daerah Penyangga)",Ya,Beberapa kali dalam seminggu,2.0,"Rp300.000,00 - Rp500.000,00","Rp30.000,00 - Rp40.000,00",Diseduh,Arabica,rasa,latte/cappuccino,Janji Jiwa,kedai kopi,Jarang,Mengikuti tren,Sangat baik,Ya
18 - 24 tahun,Perempuan,"Kota Besar (Contoh : Pusat Kota, Kawasan Perkotaan, Daerah Penyangga)",Tidak,Dalam situasi tertentu / tidak pasti,1.0,"Rp8.000,00 - Rp39.999,00","Rp30.000,00 - Rp40.000,00",Diseduh,Tidak tahu / tidak ada preferensi khusus,rasa,other,Fore,kedai kopi,Tidak pernah,Tetap dengan tradisi,Cukup baik,Ya
45 - 54 tahun,Perempuan,"Kota Besar (Contoh : Pusat Kota, Kawasan Perkotaan, Daerah Penyangga)",Ya,Setiap hari,5.0,"Rp8.000,00 - Rp39.999,00","Rp20.000,00 - Rp29.999,00",Diseduh,Tidak tahu / tidak ada preferensi khusus,rasa,latte/cappuccino,Janji Jiwa,kedai kopi,Jarang,Kombinasi keduanya,Cukup baik,Ya
45 - 54 tahun,Perempuan,"Kota Besar (Contoh : Pusat Kota, Kawasan Perkotaan, Daerah Penyangga)",Ya,Setiap hari,10.0,"Rp8.000,00 - Rp39.999,00","Rp30.000,00 - Rp40.000,00",Manual brew,Robusta,kualitas bahan baku,latte/cappuccino,Kopi Kenangan,kedai kopi,Cukup sering,Kombinasi keduanya,Sangat baik,Ya
25 - 34 tahun,Laki-laki,"Kota Kecil (Contoh : Ibukota Kabupaten, Kecamatan Pusat, Kawasan Permukiman Padat Penduduk)",Ya,Beberapa kali dalam seminggu,2.0,"< Rp8.000,00","< Rp8.000,00",Diseduh,Tidak tahu / tidak ada preferensi khusus,rasa,kopi hitam,Tidak ada yang cocok,toko kelontong/supermarket,Jarang,Tetap dengan tradisi,Cukup baik,Tidak
55 tahun ke atas,Laki-laki,"Kota Besar (Contoh : Pusat Kota, Kawasan Perkotaan, Daerah Penyangga)",Ya,Setiap hari,10.0,"Rp8.000,00 - Rp39.999,00","Rp30.000,00 - Rp40.000,00",Diseduh,Campuran (Blend),aroma,kopi hitam,Tidak ada yang cocok,kedai kopi,Cukup sering,Tetap dengan tradisi,Cukup baik,Ya
18 - 24 tahun,Perempuan,"Kota Besar (Contoh : Pusat Kota, Kawasan Perkotaan, Daerah Penyangga)",Ya,Setiap hari,6.0,"Rp8.000,00 - Rp39.999,00","Rp15.000,00 - Rp19.999,00",Diseduh,Robusta,harga,kopi hitam,Kopi Kenangan,toko kelontong/supermarket,Sangat sering,Kombinasi keduanya,Cukup baik,Ya
18 - 24 tahun,Laki-laki,"Kota Besar (Contoh : Pusat Kota, Kawasan Perkotaan, Daerah Penyangga)",Ya,Beberapa kali dalam seminggu,2.0,"Rp8.000,00 - Rp39.999,00","Rp20.000,00 - Rp29.999,00",Machine brew,Tidak tahu / tidak ada preferensi khusus,harga,latte/cappuccino,Kopi Kenangan,kafe/restoran,Jarang,Mengikuti tren,Sangat baik,Ya
18 - 24 tahun,Laki-laki,"Kota Besar (Contoh : Pusat Kota, Kawasan Perkotaan, Daerah Penyangga)",Tidak,Dalam situasi tertentu / tidak pasti,1.0,"< Rp8.000,00","< Rp8.000,00",Diseduh,Tidak tahu / tidak ada preferensi khusus,harga,espresso,Starbucks,kedai kopi,Tidak pernah,Mengikuti tren,Cukup baik,Ya
18 - 24 tahun,Laki-laki,"Kota Besar (Contoh : Pusat Kota, Kawasan Perkotaan, Daerah Penyangga)",Ya,Dalam situasi tertentu / tidak pasti,5.0,"< Rp8.000,00","Rp15.000,00 - Rp19.999,00",Manual brew,Arabica,kualitas bahan baku,kopi hitam,Tidak ada yang cocok,kedai kopi,Cukup sering,Kombinasi keduanya,Sangat baik,Ya
18 - 24 tahun,Laki-laki,"Kota Besar (Contoh : Pusat Kota, Kawasan Perkotaan, Daerah Penyangga)",Ya,Dalam situasi tertentu / tidak pasti,2.0,"< Rp8.000,00","Rp20.000,00 - Rp29.999,00",Diseduh,Tidak tahu / tidak ada preferensi khusus,rasa,espresso,Kopi Kenangan,kedai kopi,Jarang,Kombinasi keduanya,Cukup baik,Tidak
